Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Saguaro Lake (Stewart Mountain Dam),96,"1,526.79","67,000",2.21,"2,765",-19,0.00,2019-04-14,85,60 ,59,16
Total Salt system,78,,"1,568,497",,"435,790","2,579",,2019-04-14,85,60 ,59,16
Horseshoe Lake (Horseshoe Dam),89,"2,021.61","97,626",4.39,"11,591",-670,0.00,2019-04-14,85,60 ,59,16
Bartlett Lake (Bartlett Dam),96,"1,795.62","171,578",2.38,"6,608",-551,0.00,2019-04-14,85,60 ,59,16
Total Verde system,94,,"269,204",,"18,199","-1,221",,2019-04-14,85,60 ,59,16
Total Reservoir System,80,,"1,837,701",,"453,989","1,358",,2019-04-14,85,60 ,59,16
Total system year ago,59,,,,,,,2019-04-14,85,60 ,59,16
Roosevelt Lake (Roosevelt Dam),74,"2,129.23","1,209,301",21.77,"422,231","3,006",0.00,2019-04-15,85,60 ,47,11
Apache Lake (Horse Mesa Dam),97,"1,911.63","238,872",2.37,"6,266",-39,0.00,2019-04-15,85,60 ,47,11
Canyon Lake (Mormon Flat Dam),97,"1,658.88","56,320",1.62,"1,532",29,0.00,2019-04-15,85,60 ,47,11
Saguaro Lake (Stewart Mountain Dam),96,"1,526.78","66,991",2.22,"2,774",-9,0.00,2019-04-15,85,60 ,47,11
Total Salt system,78,,"1,571,484",,"432,803","2,987",,2019-04-15,85,60 ,47,11
Horseshoe Lake (Horseshoe Dam),89,"2,021.33","96,910",4.67,"12,307",-716,0.00,2019-04-15,85,60 ,47,11
Bartlett Lake (Bartlett Dam),96,"1,795.38","170,912",2.62,"7,274",-666,0.00,2019-04-15,85,60 ,47,11
Total Verde system,93,,"267,822",,"19,581","-1,382",,2019-04-15,85,60 ,47,11
Total Reservoir System,80,,"1,839,306",,"452,384","1,605",,2019-04-15,85,60 ,47,11
Total system year ago,59,,,,,,,2019-04-15,85,60 ,47,11
Roosevelt Lake (Roosevelt Dam),74,"2,129.37","1,211,780",21.63,"419,752","2,479",0.00,2019-04-16,85,60 ,34,12
Apache Lake (Horse Mesa Dam),97,"1,911.59","238,772",2.41,"6,366",-100,0.00,2019-04-16,85,60 ,34,12
Canyon Lake (Mormon Flat Dam),97,"1,658.89","56,329",1.61,"1,523",9,0.00,2019-04-16,85,60 ,34,12
Saguaro Lake (Stewart Mountain Dam),96,"1,526.76","66,963",2.24,"2,802",-28,0.00,2019-04-16,85,60 ,34,12
Total Salt system,79,,"1,573,844",,"430,443","2,360",,2019-04-16,85,60 ,34,12
Horseshoe Lake (Horseshoe Dam),88,"2,020.82","95,613",5.18,"13,604","-1,297",0.00,2019-04-16,85,60 ,34,12
Bartlett Lake (Bartlett Dam),96,"1,795.34","170,799",2.66,"7,387",-113,0.00,2019-04-16,85,60 ,34,12
Total Verde system,93,,"266,412",,"20,991","-1,410",,2019-04-16,85,60 ,34,12
Total Reservoir System,80,,"1,840,256",,"451,434",950,,2019-04-16,85,60 ,34,12
Total system year ago,59,,,,,,,2019-04-16,85,60 ,34,12
Roosevelt Lake (Roosevelt Dam),74,"2,129.48","1,213,730",21.52,"417,802","1,950",0.03,2019-04-17,86,61 ,67,17
Apache Lake (Horse Mesa Dam),97,"1,911.56","238,715",2.44,"6,423",-57,0.05,2019-04-17,86,61 ,67,17
Canyon Lake (Mormon Flat Dam),97,"1,658.91","56,348",1.59,"1,504",19,0.05,2019-04-17,86,61 ,67,17
Saguaro Lake (Stewart Mountain Dam),96,"1,526.75","66,954",2.25,"2,811",-9,0.04,2019-04-17,86,61 ,67,17
Total Salt system,79,,"1,575,747",,"428,540","1,903",,2019-04-17,86,61 ,67,17
Horseshoe Lake (Horseshoe Dam),86,"2,020.30","94,298",5.70,"14,919","-1,315",0.00,2019-04-17,86,61 ,67,17
Bartlett Lake (Bartlett Dam),96,"1,795.26","170,581",2.74,"7,605",-218,0.00,2019-04-17,86,61 ,67,17
Total Verde system,92,,"264,879",,"22,524","-1,533",,2019-04-17,86,61 ,67,17
Total Reservoir System,80,,"1,840,626",,"451,064",370,,2019-04-17,86,61 ,67,17
Total system year ago,59,,,,,,,2019-04-17,86,61 ,67,17
Roosevelt Lake (Roosevelt Dam),75,"2,129.62","1,216,214",21.38,"415,318","2,484",0.00,2019-04-18,86,61 ,80,30
Apache Lake (Horse Mesa Dam),97,"1,911.56","238,694",2.44,"6,444",-21,0.00,2019-04-18,86,61 ,80,30
Canyon Lake (Mormon Flat Dam),97,"1,658.94","56,376",1.56,"1,476",28,0.00,2019-04-18,86,61 ,80,30
Saguaro Lake (Stewart Mountain Dam),96,"1,526.74","66,944",2.26,"2,821",-10,0.00,2019-04-18,86,61 ,80,30
Total Salt system,79,,"1,578,228",,"426,059","2,481",,2019-04-18,86,61 ,80,30
Horseshoe Lake (Horseshoe Dam),85,"2,019.92","93,345",6.08,"15,872",-953,0.00,2019-04-18,86,61 ,80,30
Bartlett Lake (Bartlett Dam),95,"1,795.09","170,113",2.91,"8,073",-468,0.00,2019-04-18,86,61 ,80,30
Total Verde system,92,,"263,458",,"23,945","-1,421",,2019-04-18,86,61 ,80,30
Total Reservoir System,80,,"1,841,686",,"450,004","1,060",,2019-04-18,86,61 ,80,30
Total system year ago,59,,,,,,,2019-04-18,86,61 ,80,30
Roosevelt Lake (Roosevelt Dam),75,"2,129.74","1,218,346",21.26,"413,186","2,132",0.00,2019-04-19,86,61 ,64,13
Apache Lake (Horse Mesa Dam),97,"1,911.57","238,733",2.43,"6,405",39,0.00,2019-04-19,86,61 ,64,13
Canyon Lake (Mormon Flat Dam),97,"1,658.97","56,405",1.53,"1,447",29,0.00,2019-04-19,86,61 ,64,13
Saguaro Lake (Stewart Mountain Dam),96,"1,526.74","66,944",2.26,"2,821",0,0.00,2019-04-19,86,61 ,64,13
Total Salt system,79,,"1,580,428",,"423,859","2,200",,2019-04-19,86,61 ,64,13
Horseshoe Lake (Horseshoe Dam),85,"2,019.54","92,392",6.46,"16,825",-953,0.00,2019-04-19,86,61 ,64,13
Bartlett Lake (Bartlett Dam),95,"1,794.85","169,475",3.15,"8,711",-638,0.00,2019-04-19,86,61 ,64,13
Total Verde system,91,,"261,867",,"25,536","-1,591",,2019-04-19,86,61 ,64,13
Total Reservoir System,80,,"1,842,295",,"449,395",609,,2019-04-19,86,61 ,64,13
Total system year ago,59,,,,,,,2019-04-19,86,61 ,64,13
Roosevelt Lake (Roosevelt Dam),75,"2,129.91","1,221,369",21.09,"410,163","3,023",0.00,2019-04-20,87,61 ,42,6
Apache Lake (Horse Mesa Dam),97,"1,911.53","238,615",2.47,"6,523",-118,0.00,2019-04-20,87,61 ,42,6
Canyon Lake (Mormon Flat Dam),97,"1,658.97","56,405",1.53,"1,447",0,0.00,2019-04-20,87,61 ,42,6
Saguaro Lake (Stewart Mountain Dam),96,"1,526.73","66,936",2.27,"2,829",-8,0.00,2019-04-20,87,61 ,42,6
Total Salt system,79,,"1,583,325",,"420,962","2,897",,2019-04-20,87,61 ,42,6
Horseshoe Lake (Horseshoe Dam),83,"2,018.99","91,030",7.01,"18,187","-1,362",0.00,2019-04-20,87,61 ,42,6
Bartlett Lake (Bartlett Dam),95,"1,794.81","169,350",3.19,"8,836",-125,0.00,2019-04-20,87,61 ,42,6
Total Verde system,91,,"260,380",,"27,023","-1,487",,2019-04-20,87,61 ,42,6
Total Reservoir System,80,,"1,843,705",,"447,985","1,410",,2019-04-20,87,61 ,42,6
Total system year ago,59,,,,,,,2019-04-20,87,61 ,42,6
Roosevelt Lake (Roosevelt Dam),75,"2,130.01","1,223,149",20.99,"408,383","1,780",0.00,2019-04-21,87,62 ,27,9
Apache Lake (Horse Mesa Dam),97,"1,911.50","238,537",2.50,"6,601",-78,0.00,2019-04-21,87,62 ,27,9
Canyon Lake (Mormon Flat Dam),98,"1,659.00","56,433",1.50,"1,419",28,0.00,2019-04-21,87,62 ,27,9
Saguaro Lake (Stewart Mountain Dam),96,"1,526.71","66,907",2.29,"2,858",-29,0.00,2019-04-21,87,62 ,27,9
Total Salt system,79,,"1,585,026",,"419,261","1,701",,2019-04-21,87,62 ,27,9
Horseshoe Lake (Horseshoe Dam),82,"2,018.40","89,572",7.60,"19,645","-1,458",0.00,2019-04-21,87,62 ,27,9
Bartlett Lake (Bartlett Dam),95,"1,794.80","169,329",3.20,"8,857",-21,0.00,2019-04-21,87,62 ,27,9
Total Verde system,90,,"258,901",,"28,502","-1,479",,2019-04-21,87,62 ,27,9
Total Reservoir System,80,,"1,843,927",,"447,763",222,,2019-04-21,87,62 ,27,9
Total system year ago,59,,,,,,,2019-04-21,87,62 ,27,9
Roosevelt Lake (Roosevelt Dam),75,"2,130.13","1,225,288",20.87,"406,244","2,139",0.00,2019-04-22,87,62 ,37,9
Apache Lake (Horse Mesa Dam),97,"1,911.48","238,497",2.52,"6,641",-40,0.00,2019-04-22,87,62 ,37,9
Canyon Lake (Mormon Flat Dam),98,"1,659.01","56,442",1.49,"1,410",9,0.00,2019-04-22,87,62 ,37,9
Saguaro Lake (Stewart Mountain Dam),96,"1,526.70","66,889",2.30,"2,876",-18,0.00,2019-04-22,87,62 ,37,9
Total Salt system,79,,"1,587,116",,"417,171","2,090",,2019-04-22,87,62 ,37,9
Horseshoe Lake (Horseshoe Dam),81,"2,017.82","88,154",8.18,"21,063","-1,418",0.00,2019-04-22,87,62 ,37,9
Bartlett Lake (Bartlett Dam),95,"1,794.79","169,306",3.21,"8,880",-23,0.00,2019-04-22,87,62 ,37,9
Total Verde system,90,,"257,460",,"29,943","-1,441",,2019-04-22,87,62 ,37,9
Total Reservoir System,80,,"1,844,576",,"447,114",649,,2019-04-22,87,62 ,37,9
Total system year ago,59,,,,,,,2019-04-22,87,62 ,37,9
Roosevelt Lake (Roosevelt Dam),75,"2,130.30","1,228,324",20.70,"403,208","3,036",0.00,2019-04-23,87,62 ,34,10
Apache Lake (Horse Mesa Dam),97,"1,911.47","238,479",2.53,"6,659",-18,0.00,2019-04-23,87,62 ,34,10
Canyon Lake (Mormon Flat Dam),98,"1,659.03","56,461",1.47,"1,391",19,0.00,2019-04-23,87,62 ,34,10
Saguaro Lake (Stewart Mountain Dam),96,"1,526.69","66,880",2.31,"2,885",-9,0.00,2019-04-23,87,62 ,34,10
Total Salt system,79,,"1,590,144",,"414,143","3,028",,2019-04-23,87,62 ,34,10
Horseshoe Lake (Horseshoe Dam),79,"2,017.11","86,433",8.89,"22,784","-1,721",0.00,2019-04-23,87,62 ,34,10
Bartlett Lake (Bartlett Dam),95,"1,794.80","169,322",3.20,"8,864",16,0.00,2019-04-23,87,62 ,34,10
Total Verde system,89,,"255,755",,"31,648","-1,705",,2019-04-23,87,62 ,34,10
Total Reservoir System,81,,"1,845,899",,"445,791","1,323",,2019-04-23,87,62 ,34,10
Total system year ago,59,,,,,,,2019-04-23,87,62 ,34,10
Roosevelt Lake (Roosevelt Dam),75,"2,130.42","1,230,470",20.58,"401,062","2,146",0.00,2019-04-24,88,63 ,35,16
Apache Lake (Horse Mesa Dam),97,"1,911.45","238,419",2.55,"6,719",-60,0.05,2019-04-24,88,63 ,35,16
Canyon Lake (Mormon Flat Dam),98,"1,659.06","56,489",1.44,"1,363",28,0.00,2019-04-24,88,63 ,35,16
Saguaro Lake (Stewart Mountain Dam),96,"1,526.68","66,870",2.32,"2,895",-10,0.00,2019-04-24,88,63 ,35,16
Total Salt system,79,,"1,592,248",,"412,039","2,104",,2019-04-24,88,63 ,35,16
Horseshoe Lake (Horseshoe Dam),77,"2,016.27","84,416",9.73,"24,801","-2,017",0.00,2019-04-24,88,63 ,35,16
Bartlett Lake (Bartlett Dam),95,"1,794.96","169,773",3.04,"8,413",451,0.00,2019-04-24,88,63 ,35,16
Total Verde system,88,,"254,189",,"33,214","-1,566",,2019-04-24,88,63 ,35,16
Total Reservoir System,81,,"1,846,437",,"445,253",538,,2019-04-24,88,63 ,35,16
Total system year ago,59,,,,,,,2019-04-24,88,63 ,35,16
Roosevelt Lake (Roosevelt Dam),76,"2,130.55","1,232,798",20.45,"398,734","2,328",0.00,2019-04-25,88,63 ,52,10
Apache Lake (Horse Mesa Dam),97,"1,911.41","238,322",2.59,"6,816",-97,0.00,2019-04-25,88,63 ,52,10
Canyon Lake (Mormon Flat Dam),97,"1,658.95","56,386",1.55,"1,466",-103,0.00,2019-04-25,88,63 ,52,10
Saguaro Lake (Stewart Mountain Dam),96,"1,526.75","66,954",2.25,"2,811",84,0.00,2019-04-25,88,63 ,52,10
Total Salt system,80,,"1,594,460",,"409,827","2,212",,2019-04-25,88,63 ,52,10
Horseshoe Lake (Horseshoe Dam),75,"2,015.43","82,423",10.57,"26,794","-1,993",0.00,2019-04-25,88,63 ,52,10
Bartlett Lake (Bartlett Dam),96,"1,795.18","170,362",2.82,"7,824",589,0.00,2019-04-25,88,63 ,52,10
Total Verde system,88,,"252,785",,"34,618","-1,404",,2019-04-25,88,63 ,52,10
Total Reservoir System,81,,"1,847,245",,"444,445",808,,2019-04-25,88,63 ,52,10
Total system year ago,59,,,,,,,2019-04-25,88,63 ,52,10
Roosevelt Lake (Roosevelt Dam),76,"2,130.67","1,234,951",20.33,"396,581","2,153",0.00,2019-04-26,88,63 ,37,8
Apache Lake (Horse Mesa Dam),97,"1,911.33","238,105",2.67,"7,033",-217,0.00,2019-04-26,88,63 ,37,8
Canyon Lake (Mormon Flat Dam),98,"1,659.01","56,442",1.49,"1,410",56,0.00,2019-04-26,88,63 ,37,8
Saguaro Lake (Stewart Mountain Dam),96,"1,526.93","67,177",2.07,"2,588",223,0.00,2019-04-26,88,63 ,37,8
Total Salt system,80,,"1,596,675",,"407,612","2,215",,2019-04-26,88,63 ,37,8
Horseshoe Lake (Horseshoe Dam),73,"2,014.46","80,153",11.54,"29,064","-2,270",0.00,2019-04-26,88,63 ,37,8
Bartlett Lake (Bartlett Dam),96,"1,795.38","170,916",2.62,"7,270",554,0.00,2019-04-26,88,63 ,37,8
Total Verde system,87,,"251,069",,"36,334","-1,716",,2019-04-26,88,63 ,37,8
Total Reservoir System,81,,"1,847,744",,"443,946",499,,2019-04-26,88,63 ,37,8
Total system year ago,59,,,,,,,2019-04-26,88,63 ,37,8
Roosevelt Lake (Roosevelt Dam),76,"2,130.78","1,236,926",20.22,"394,606","1,975",0.00,2019-04-27,89,64 ,35,9
Apache Lake (Horse Mesa Dam),97,"1,911.30","238,027",2.70,"7,111",-78,0.00,2019-04-27,89,64 ,35,9
Canyon Lake (Mormon Flat Dam),98,"1,659.01","56,442",1.49,"1,410",0,0.00,2019-04-27,89,64 ,35,9
Saguaro Lake (Stewart Mountain Dam),96,"1,526.94","67,186",2.06,"2,579",9,0.00,2019-04-27,89,64 ,35,9
Total Salt system,80,,"1,598,581",,"405,706","1,906",,2019-04-27,89,64 ,35,9
Horseshoe Lake (Horseshoe Dam),71,"2,013.54","78,030",12.46,"31,187","-2,123",0.00,2019-04-27,89,64 ,35,9
Bartlett Lake (Bartlett Dam),96,"1,795.74","171,891",2.26,"6,295",975,0.00,2019-04-27,89,64 ,35,9
Total Verde system,87,,"249,921",,"37,482","-1,148",,2019-04-27,89,64 ,35,9
Total Reservoir System,81,,"1,848,502",,"443,188",758,,2019-04-27,89,64 ,35,9
Total system year ago,59,,,,,,,2019-04-27,89,64 ,35,9
Roosevelt Lake (Roosevelt Dam),76,"2,130.90","1,239,083",20.10,"392,449","2,157",0.00,2019-04-28,89,64 ,29,7
Apache Lake (Horse Mesa Dam),97,"1,911.29","237,988",2.71,"7,150",-39,0.00,2019-04-28,89,64 ,29,7
Canyon Lake (Mormon Flat Dam),98,"1,659.03","56,461",1.47,"1,391",19,0.00,2019-04-28,89,64 ,29,7
Saguaro Lake (Stewart Mountain Dam),96,"1,526.92","67,167",2.08,"2,598",-19,0.00,2019-04-28,89,64 ,29,7
Total Salt system,80,,"1,600,699",,"403,588","2,118",,2019-04-28,89,64 ,29,7
Horseshoe Lake (Horseshoe Dam),69,"2,012.36","75,356",13.64,"33,861","-2,674",0.00,2019-04-28,89,64 ,29,7
Bartlett Lake (Bartlett Dam),97,"1,796.14","173,002",1.86,"5,184","1,111",0.00,2019-04-28,89,64 ,29,7
Total Verde system,86,,"248,358",,"39,045","-1,563",,2019-04-28,89,64 ,29,7
Total Reservoir System,81,,"1,849,057",,"442,633",555,,2019-04-28,89,64 ,29,7
Total system year ago,59,,,,,,,2019-04-28,89,64 ,29,7
Roosevelt Lake (Roosevelt Dam),76,"2,130.99","1,240,704",20.01,"390,828","1,621",0.00,2019-04-29,89,64 ,26,8
Apache Lake (Horse Mesa Dam),97,"1,911.26","237,930",2.74,"7,208",-58,0.00,2019-04-29,89,64 ,26,8
Canyon Lake (Mormon Flat Dam),98,"1,659.04","56,470",1.46,"1,382",9,0.00,2019-04-29,89,64 ,26,8
Saguaro Lake (Stewart Mountain Dam),96,"1,526.91","67,159",2.09,"2,606",-8,0.00,2019-04-29,89,64 ,26,8
Total Salt system,80,,"1,602,263",,"402,024","1,564",,2019-04-29,89,64 ,26,8
Horseshoe Lake (Horseshoe Dam),67,"2,011.16","72,697",14.84,"36,520","-2,659",0.00,2019-04-29,89,64 ,26,8
Bartlett Lake (Bartlett Dam),98,"1,796.52","174,059",1.48,"4,127","1,057",0.00,2019-04-29,89,64 ,26,8
Total Verde system,86,,"246,756",,"40,647","-1,602",,2019-04-29,89,64 ,26,8
Total Reservoir System,81,,"1,849,019",,"442,671",-38,,2019-04-29,89,64 ,26,8
Total system year ago,59,,,,,,,2019-04-29,89,64 ,26,8
Roosevelt Lake (Roosevelt Dam),76,"2,131.09","1,242,506",19.91,"389,026","1,802",0.02,2019-04-30,90,65 ,31,12
Apache Lake (Horse Mesa Dam),97,"1,911.23","237,831",2.77,"7,307",-99,0.03,2019-04-30,90,65 ,31,12
Canyon Lake (Mormon Flat Dam),98,"1,659.04","56,470",1.46,"1,382",0,0.17,2019-04-30,90,65 ,31,12
Saguaro Lake (Stewart Mountain Dam),96,"1,526.90","67,140",2.10,"2,625",-19,0.10,2019-04-30,90,65 ,31,12
Total Salt system,80,,"1,603,947",,"400,340","1,684",,2019-04-30,90,65 ,31,12
Horseshoe Lake (Horseshoe Dam),65,"2,010.38","70,999",15.62,"38,218","-1,698",0.06,2019-04-30,90,65 ,31,12
Bartlett Lake (Bartlett Dam),98,"1,796.74","174,660",1.26,"3,526",601,0.00,2019-04-30,90,65 ,31,12
Total Verde system,85,,"245,659",,"41,744","-1,097",,2019-04-30,90,65 ,31,12
Total Reservoir System,81,,"1,849,606",,"442,084",587,,2019-04-30,90,65 ,31,12
Total system year ago,58,,,,,,,2019-04-30,90,65 ,31,12
Roosevelt Lake (Roosevelt Dam),76,"2,131.24","1,245,213",19.76,"386,319","2,707",0.00,2019-05-01,90,65 ,72,28
Apache Lake (Horse Mesa Dam),97,"1,911.21","237,792",2.79,"7,346",-39,0.00,2019-05-01,90,65 ,72,28
Canyon Lake (Mormon Flat Dam),98,"1,659.06","56,489",1.44,"1,363",19,0.00,2019-05-01,90,65 ,72,28
Saguaro Lake (Stewart Mountain Dam),96,"1,526.90","67,140",2.10,"2,625",0,0.00,2019-05-01,90,65 ,72,28
Total Salt system,80,,"1,606,634",,"397,653","2,687",,2019-05-01,90,65 ,72,28
Horseshoe Lake (Horseshoe Dam),63,"2,009.57","69,261",16.43,"39,956","-1,738",0.00,2019-05-01,90,65 ,72,28
Bartlett Lake (Bartlett Dam),98,"1,796.83","174,910",1.17,"3,276",250,0.00,2019-05-01,90,65 ,72,28
Total Verde system,85,,"244,171",,"43,232","-1,488",,2019-05-01,90,65 ,72,28
Total Reservoir System,81,,"1,850,805",,"440,885","1,199",,2019-05-01,90,65 ,72,28
Total system year ago,58,,,,,,,2019-05-01,90,65 ,72,28
Roosevelt Lake (Roosevelt Dam),76,"2,131.32","1,246,749",19.68,"384,783","1,536",0.00,2019-05-02,90,65 ,52,15
Apache Lake (Horse Mesa Dam),97,"1,911.20","237,753",2.80,"7,385",-39,0.00,2019-05-02,90,65 ,52,15
Canyon Lake (Mormon Flat Dam),98,"1,659.06","56,491",1.44,"1,361",2,0.00,2019-05-02,90,65 ,52,15
Saguaro Lake (Stewart Mountain Dam),96,"1,526.90","67,140",2.10,"2,625",0,0.00,2019-05-02,90,65 ,52,15
Total Salt system,80,,"1,608,133",,"396,154","1,499",,2019-05-02,90,65 ,52,15
Horseshoe Lake (Horseshoe Dam),62,"2,008.82","67,666",17.18,"41,551","-1,595",0.00,2019-05-02,90,65 ,52,15
Bartlett Lake (Bartlett Dam),98,"1,796.91","175,125",1.09,"3,061",215,0.00,2019-05-02,90,65 ,52,15
Total Verde system,84,,"242,791",,"44,612","-1,380",,2019-05-02,90,65 ,52,15
Total Reservoir System,81,,"1,850,924",,"440,766",119,,2019-05-02,90,65 ,52,15
Total system year ago,58,,,,,,,2019-05-02,90,65 ,52,15
Roosevelt Lake (Roosevelt Dam),77,"2,131.42","1,248,468",19.58,"383,064","1,719",0.00,2019-05-03,91,66 ,43,8
Apache Lake (Horse Mesa Dam),97,"1,911.17","237,674",2.83,"7,464",-79,0.00,2019-05-03,91,66 ,43,8
Canyon Lake (Mormon Flat Dam),98,"1,659.07","56,499",1.43,"1,353",8,0.00,2019-05-03,91,66 ,43,8
Saguaro Lake (Stewart Mountain Dam),96,"1,526.88","67,111",2.12,"2,654",-29,0.00,2019-05-03,91,66 ,43,8
Total Salt system,80,,"1,609,752",,"394,535","1,619",,2019-05-03,91,66 ,43,8
Horseshoe Lake (Horseshoe Dam),60,"2,007.96","65,879",18.04,"43,338","-1,787",0.00,2019-05-03,91,66 ,43,8
Bartlett Lake (Bartlett Dam),98,"1,796.97","175,309",1.03,"2,877",184,0.00,2019-05-03,91,66 ,43,8
Total Verde system,84,,"241,188",,"46,215","-1,603",,2019-05-03,91,66 ,43,8
Total Reservoir System,81,,"1,850,940",,"440,750",16,,2019-05-03,91,66 ,43,8
Total system year ago,58,,,,,,,2019-05-03,91,66 ,43,8
Roosevelt Lake (Roosevelt Dam),77,"2,131.54","1,250,641",19.46,"380,891","2,173",0.00,2019-05-04,91,66 ,34,6
Apache Lake (Horse Mesa Dam),97,"1,911.12","237,557",2.88,"7,581",-117,0.00,2019-05-04,91,66 ,34,6
Canyon Lake (Mormon Flat Dam),98,"1,659.12","56,545",1.38,"1,307",46,0.00,2019-05-04,91,66 ,34,6
Saguaro Lake (Stewart Mountain Dam),96,"1,526.90","67,140",2.10,"2,625",29,0.00,2019-05-04,91,66 ,34,6
